[driver] start G25O-R full mode3 100
[batch] run 80: clicked 开始问题4演练测试, waiting runner...
[batch] run 80: success=True cleared=11 V=7511.481444 fallback=0
[batch] run 81: clicked 开始问题4演练测试, waiting runner...
[batch] run 81: success=True cleared=16 V=6866.677065 fallback=0
[batch] run 82: clicked 开始问题4演练测试, waiting runner...
[batch] run 82: success=True cleared=10 V=7268.615959 fallback=0
[batch] run 83: clicked 开始问题4演练测试, waiting runner...
[batch] run 83: success=True cleared=12 V=7399.957291 fallback=0
[batch] run 84: clicked 开始问题4演练测试, waiting runner...
[batch] run 84: success=True cleared=10 V=6384.137518 fallback=0
[batch] run 85: clicked 开始问题4演练测试, waiting runner...
[batch] run 85: success=True cleared=12 V=7271.586021 fallback=0
[batch] run 86: clicked 开始问题4演练测试, waiting runner...
[batch] run 86: success=True cleared=12 V=7284.163933 fallback=0
[batch] run 87: clicked 开始问题4演练测试, waiting runner...
[batch] run 87: success=True cleared=15 V=7446.487863 fallback=0
[batch] run 88: clicked 开始问题4演练测试, waiting runner...
[batch] run 88: success=True cleared=12 V=7104.61865 fallback=0
[batch] run 89: clicked 开始问题4演练测试, waiting runner...
[batch] run 89: success=True cleared=16 V=5714.773902 fallback=0
[batch] run 90: clicked 开始问题4演练测试, waiting runner...
[batch] run 90: success=True cleared=15 V=6746.896015 fallback=0
[batch] run 91: clicked 开始问题4演练测试, waiting runner...
[batch] run 91: success=True cleared=14 V=7717.387444 fallback=0
[batch] run 92: clicked 开始问题4演练测试, waiting runner...
[batch] run 92: success=True cleared=10 V=6782.108288 fallback=0
[batch] run 93: clicked 开始问题4演练测试, waiting runner...
[batch] run 93: success=True cleared=16 V=6694.158789 fallback=0
[batch] run 94: clicked 开始问题4演练测试, waiting runner...
[batch] run 94: success=True cleared=11 V=7472.458726 fallback=0
[batch] run 95: clicked 开始问题4演练测试, waiting runner...
[batch] run 95: success=True cleared=11 V=7278.815337 fallback=0
[batch] run 96: clicked 开始问题4演练测试, waiting runner...
[batch] run 96: success=True cleared=16 V=5614.87979 fallback=0
[batch] run 97: clicked 开始问题4演练测试, waiting runner...
[batch] run 97: success=True cleared=11 V=7147.188755 fallback=0
[batch] run 98: clicked 开始问题4演练测试, waiting runner...
[batch] run 98: success=True cleared=15 V=7155.909796 fallback=0
[batch] run 99: clicked 开始问题4演练测试, waiting runner...
[batch] run 99: success=True cleared=14 V=7583.706621 fallback=0
[batch] run 100: clicked 开始问题4演练测试, waiting runner...
[batch] run 100: success=True cleared=13 V=7229.355604 fallback=0
[batch] done, 100 runs, summary=D:\数学建模\B_RL\results\auto_g25orfull_p4_100_final\batch_auto_summary.json
[driver] all done
