kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,4,93042,A0,G25OR,S21,True,14,14286.382402568044,58801.912012840025,322,270,206,192,0,2,0,94,14
uniform,4,93042,G25O,G25OR,S21,True,14,7152.004746003117,28995.023730015564,215,208,14,0,0,0,49,,14
uniform,4,93043,A0,G25OR,S21,True,10,12062.755768174871,46948.778840874256,392,351,114,104,0,1,0,67,10
uniform,4,93043,G25O,G25OR,S21,True,10,6763.627015978652,25868.135079893258,258,250,10,0,0,0,26,,10
uniform,4,93044,A0,G25OR,S21,True,12,15077.0535352613,60075.26767630624,380,331,269,257,0,3,0,87,12
uniform,4,93044,G25O,G25OR,S21,True,12,6381.111403641856,24675.557018209278,232,226,12,0,0,0,35,,12
uniform,4,93045,A0,G25OR,S21,True,10,15426.137518537642,59405.6875926879,423,372,346,336,0,4,0,83,10
uniform,4,93045,G25O,G25OR,S21,True,10,6889.554942255479,25502.774711277394,291,284,10,0,0,0,28,,10
uniform,4,93046,A0,G25OR,S21,True,11,13399.718922871141,53008.59461435562,410,363,121,110,0,1,0,83,11
uniform,4,93046,G25O,G25OR,S21,True,11,6711.57734191133,25242.886709556646,269,263,11,0,0,0,32,,11
uniform,4,93047,A0,G25OR,S21,True,12,13677.302744227603,54501.51372113787,391,342,152,140,0,3,0,85,12
uniform,4,93047,G25O,G25OR,S21,True,12,7540.171886489048,29350.859432445235,271,255,12,0,0,0,36,,12
uniform,4,93048,A0,G25OR,S21,True,11,12877.058391665058,50750.29195832511,380,331,158,147,0,2,0,74,11
uniform,4,93048,G25O,G25OR,S21,True,11,6743.833476955073,25209.16738477535,276,267,11,0,0,0,21,,11
uniform,4,93049,A0,G25OR,S21,True,16,13573.482912914673,58897.41456457326,275,225,54,38,0,2,0,92,16
uniform,4,93049,G25O,G25OR,S21,True,16,7235.849719341609,28499.248596708043,245,231,16,0,0,0,51,,16
edge,3,93000,A0,G25OR,S21,True,16,5231.626717301766,22623.133586508826,106,97,16,0,0,0,0,44,16
edge,3,93000,G25O,G25OR,S21,True,16,5115.685908445975,21398.42954222987,130,106,16,0,0,0,45,,16
edge,3,93001,A0,G25OR,S21,True,13,4886.805477241849,20594.027386209244,119,108,13,0,0,0,0,42,13
edge,3,93001,G25O,G25OR,S21,True,13,4548.808061438166,18719.04030719085,126,110,13,0,0,0,29,,13
edge,3,93002,A0,G25OR,S21,True,15,5308.630147394489,22333.150736972428,130,117,15,0,0,0,0,50,15
edge,3,93002,G25O,G25OR,S21,True,15,4956.423031439351,20337.115157196753,139,119,15,0,0,0,37,,15
edge,3,93003,A0,G25OR,S21,True,13,4990.808658620199,20684.043293100993,133,124,13,0,0,0,0,39,13
edge,3,93003,G25O,G25OR,S21,True,13,5104.2368741816335,20861.184370908162,148,127,13,0,0,0,34,,13
edge,3,93004,A0,G25OR,S21,True,16,5131.443829138926,21607.219145694628,123,115,16,0,0,0,0,46,16
edge,3,93004,G25O,G25OR,S21,True,16,4683.132523848908,19080.662619244544,134,117,16,0,0,0,34,,16
edge,3,93005,A0,G25OR,S21,True,14,4961.6646774830615,20618.323387415316,130,118,14,0,0,0,0,45,14
edge,3,93005,G25O,G25OR,S21,True,14,4896.91851799927,19964.59258999635,143,119,14,0,0,0,37,,14
edge,3,93006,A0,G25OR,S21,True,16,5540.388645349806,23666.943226749027,123,112,16,0,0,0,0,54,16
