mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
4,170011,O2,16,True,16,5391.233073746789,22421.16536873395,141,16,0
4,170011,O3,16,True,16,4914.233073746789,22421.16536873395,61,16,0
4,170011,O0,16,True,16,1951.2173030228741,9356.086515114372,0,16,0
4,170012,G25OR,10,True,10,8503.513842422297,28227.569212111484,475,10,0
4,170012,O1,10,True,10,7068.7816096800625,28503.90804840031,227,10,0
4,170012,O2,10,True,10,7323.931845222955,23439.659226114778,435,10,0
4,170012,O3,10,True,10,5683.292505910353,22721.46252955177,185,10,0
4,170012,O0,10,True,10,1799.857767264184,8749.28883632092,0,10,0
4,170013,G25OR,13,True,13,7426.809650091604,26969.048250458018,331,13,0
4,170013,O1,13,True,13,6378.809650091604,26969.048250458018,156,13,0
4,170013,O2,13,True,13,6831.413691421074,25437.068457105383,284,13,0
4,170013,O3,13,True,13,5500.550073732804,24017.75036866403,109,13,0
4,170013,O0,13,True,13,1848.2149697581692,8916.074848790846,0,13,0
4,170014,G25OR,15,True,15,7257.608061704669,28718.040308523356,242,15,0
4,170014,O1,15,True,15,5702.430801509895,24682.15400754948,117,15,0
4,170014,O2,15,True,15,6214.4661093947725,24937.330546973855,196,15,0
4,170014,O3,15,True,15,4708.386403489535,21121.93201744767,71,15,0
4,170014,O0,15,True,15,1849.9361856519295,8874.680928259646,0,15,0
4,170015,G25OR,10,True,10,8754.73530132893,29773.676506644675,467,10,0
4,170015,O1,10,True,10,7258.735301328931,29773.676506644675,217,10,0
4,170015,O2,10,True,10,6936.772334011016,22018.861670055066,418,10,0
4,170015,O3,10,True,10,5364.859481321654,21644.29740660827,168,10,0
4,170015,O0,10,True,10,1731.1267340221882,8405.633670110941,0,10,0
4,170016,G25OR,12,True,12,7186.397215203112,26921.98607601556,292,12,0
4,170016,O1,12,True,12,5604.317001086446,24986.58500543223,92,12,0
4,170016,O2,12,True,12,6222.994104704677,23339.970523523378,253,12,0
