mode,seed,sources,orig_v,orig_dist,first_noncoverage_index,undiscovered_true_at_first,noncoverage_stops,coverage_tasks_after_first,coverage_visits_after_first,unknown_opportunities,shadow_signal_events,shadow_absent_channels,valid_deleted_tasks,valid_whole_waypoints,valid_partial_waypoints,valid_dist_saved,added_shadow_s,valid_new_v,valid_net_s_per_source,valid_recovery_of_B_minus_O0,signal_only_added_s,signal_only_net_s_per_source,gross_deleted_tasks,gross_whole_waypoints,gross_dist_saved,gross_new_v,gross_net_s_per_source,gross_recovery_of_B_minus_O0
3,160044,12,3913.0129900783786,15765.064950391896,33,5,28,51,5,51,0,0,0,0,0,0.0,306.0,4219.012990078379,-25.5,-0.2230887560248666,0.0,0.0,51,5,0.0,3607.0129900783786,25.5,0.2230887560248666
3,160045,11,4409.494443418114,17787.47221709057,58,7,35,52,4,42,0,0,0,0,0,0.0,252.0,4661.494443418114,-22.90909090909091,-0.1291174189000405,0.0,0.0,52,4,321.539030917349,4034.186637234644,34.11889147122458,0.19229672709304105
3,160046,15,4489.219845535391,18496.09922767694,32,6,40,47,5,47,0,0,0,0,0,0.0,282.0,4771.219845535391,-18.8,-0.15397173137483322,0.0,0.0,47,5,0.0,4207.219845535391,18.8,0.15397173137483322
3,160047,16,3660.4493327941473,15137.24666397074,28,3,33,26,4,142,0,0,0,0,0,0.0,856.0000000000018,4516.449332794149,-53.500000000000114,-0.5694728889774664,0.0,0.0,26,4,0.0,3504.4493327941473,9.75,0.10378244238374366
3,160048,12,4408.862037060963,17859.310185304814,56,8,39,47,4,35,0,0,0,0,0,0.0,210.0,4618.862037060963,-17.5,-0.10147039719847709,0.0,0.0,47,4,321.539030917349,4063.5542308774943,28.775650515289083,0.16685009642462545
3,160049,14,5222.417959267923,22142.08979633961,35,8,38,52,5,52,0,0,0,0,0,0.0,312.0000000000018,5534.417959267925,-22.285714285714416,-0.18888043957412143,0.0,0.0,52,5,0.0,4909.417959267923,22.357142857142858,0.18948582559839636
4,160000,11,9091.261452111055,30626.307260555277,299,9,59,143,10,103,0,0,0,0,0,0.0,617.9999999999982,9709.261452111054,-56.18181818181802,-0.09938871806047517,0.0,0.0,143,10,198.95765751286672,8195.469920608484,81.43559377296101,0.14406403230658668
4,160001,12,7530.095838413183,28340.479192065904,34,6,40,224,23,192,0,0,0,0,0,0.0,1151.9999999999982,8682.09583841318,-95.99999999999984,-0.4143352038768815,0.0,0.0,224,23,2990.9086472289273,5592.914108967396,161.43181078714892,0.6967383566115376
4,160002,11,7740.78141041711,28043.907052085546,37,6,42,263,23,244,0,0,0,0,0,0.0,1464.0,9204.78141041711,-133.0909090909091,-0.2870140176340832,0.0,0.0,263,23,361.2944456637488,6089.522521284361,150.1144444666136,0.3237257157950708
4,160003,15,9872.631809082739,34598.15904541371,317,11,93,93,9,74,0,0,0,0,0,0.0,444.0,10316.631809082739,-29.6,-0.07608016417358723,0.0,0.0,93,9,1140.969903625184,9088.4378283577,52.27959871500255,0.13437298828265723
4,160004,11,7325.3413173006375,26506.706586503187,36,5,33,257,23,253,0,0,0,0,0,0.0,1518.0,8843.341317300637,-138.0,-0.3199308149458577,0.0,0.0,257,23,1095.9471133350453,5562.151894633628,160.28994751518266,0.37160647489971843
4,160005,15,6419.24901990046,25131.245099502295,34,5,38,138,23,147,0,0,0,0,0,0.0,882.0,7301.24901990046,-58.8,-0.2891661308339418,0.0,0.0,138,23,4032.442600932336,4788.760499713993,108.69923467909776,0.5345601550470294
4,160006,11,9558.164137993785,32705.82068996891,298,9,77,138,10,129,0,0,0,0,0,0.0,774.0,10332.164137993785,-70.36363636363636,-0.1337868593622818,0.0,0.0,138,10,66.31921917095679,8716.90029415959,76.47853125765405,0.14541349814162532
4,160007,10,7479.947324578837,26139.73662289419,56,5,35,279,22,221,1,0,1,0,1,0.0,1326.000000000001,8799.947324578838,-132.00000000000009,-0.24826508989218188,101.0,-9.5,279,22,915.5947577596744,5625.828373026901,185.41189515519355,0.34872197589230225
4,160008,10,6969.47468653517,24777.373432675853,35,3,28,262,23,210,0,0,0,0,0,0.0,1259.9999999999982,8229.474686535168,-125.99999999999982,-0.2578071654973784,0.0,0.0,262,23,2377.4612489859755,4925.982436737973,204.34922497971965,0.41811662272704503
4,160009,15,9626.493987191898,33757.4699359595,298,11,89,99,10,78,0,0,0,0,0,0.0,468.0,10094.493987191898,-31.2,-0.08143869359120867,0.0,0.0,99,10,132.6384383419063,9005.966299523516,41.36851251122547,0.10798069277967223
4,160010,12,6845.072741438297,24880.363707191493,36,6,33,233,23,227,0,0,0,0,0,0.0,1362.000000000001,8207.072741438298,-113.50000000000007,-0.32645868714939263,0.0,0.0,233,23,3220.6745109785443,4805.93783924259,169.92790851630897,0.48876160285705983
4,160011,12,7084.696636845841,26328.483184229204,36,6,31,219,23,196,1,0,1,0,1,0.0,1175.999999999999,8254.69663684584,-97.49999999999993,-0.6468805649810767,25.0,-1.5833333333333333,219,23,3761.57990215069,5025.380656415702,171.60966503584487,1.1385739187138537
4,160012,16,9456.409630148475,33322.04815074239,298,12,86,91,9,399,0,0,0,0,0,0.0,2438.999999999998,11895.409630148473,-152.4374999999999,-0.4390726550198163,0.0,0.0,91,9,0.0,8909.409630148477,34.187499999999886,0.09847180905938453
4,160013,11,6979.8588433599,25744.294216799495,34,2,33,216,23,198,0,0,0,0,0,0.0,1188.0,8167.8588433599,-108.0,-1.0286311862325137,0.0,0.0,216,23,3233.2149728611985,5036.215848787659,176.69481768838557,1.682905554814276
4,160014,15,7479.355539624971,28666.777698124853,33,8,42,196,23,174,0,0,0,0,0,0.0,1044.000000000001,8523.355539624972,-69.60000000000007,-0.24062463623721997,0.0,0.0,196,23,863.7966532853461,6133.596208967901,89.71728871047138,0.31017514310555744
4,160015,16,10734.145247787988,38100.726238939984,317,12,115,104,8,502,0,0,0,0,0,0.0,3090.9999999999927,13825.145247787981,-193.18749999999955,-0.5204532194886691,0.0,0.0,104,8,393.3957698369268,10033.466093820603,43.79244712296156,0.11797823407017898
4,160016,12,7143.102771216185,25710.51385608093,38,10,33,256,23,233,1,0,1,0,1,0.0,1397.9999999999982,8535.102771216183,-115.99999999999984,-0.3668723316541438,89.0,-6.916666666666667,256,23,1597.8106966578962,5287.540631884607,154.63017827763147,0.4890477073173334
4,160017,13,7347.945815755287,28134.729078776432,34,6,41,197,23,203,0,0,0,0,0,0.0,1218.0,8565.945815755287,-93.6923076923077,-0.3140801685233905,0.0,0.0,197,23,2881.001811415492,5586.745453472189,135.47695094485368,0.45415279687137255
4,160018,16,10328.022616076658,36315.113080383315,318,13,96,106,9,78,0,0,0,0,0,0.0,467.9999999999982,10796.022616076656,-29.249999999999886,-0.07988108178925987,0.0,0.0,106,9,937.6551952914815,9504.491577018362,51.47068994114352,0.1405652783910474
4,160019,12,6878.826894062313,25779.134470311565,34,5,32,208,23,180,0,0,0,0,0,0.0,1079.999999999999,7958.826894062312,-89.99999999999993,-0.5203744377695741,0.0,0.0,208,23,3207.3453415583645,4993.357825750639,157.12242235930617,0.9084721355135286
4,160020,15,7747.876066650629,30234.380333253164,35,8,49,174,23,168,0,0,0,0,0,0.0,1008.0000000000027,8755.876066650631,-67.20000000000019,-0.2883021294139493,0.0,0.0,174,23,2132.1293717540175,6276.450192299824,98.09505829005363,0.4208484254465456
4,160021,10,8733.345093858696,28926.725469293495,318,8,39,137,9,64,0,0,0,0,0,0.0,384.0,9117.345093858696,-38.4,-0.06585934929383785,0.0,0.0,137,9,459.71498900788356,7824.40209605712,90.8942997801576,0.1558916520322971
4,160022,15,7156.580225062551,27937.90112531276,37,7,42,168,23,183,2,0,2,0,2,0.0,1098.0,8242.580225062551,-72.4,-0.443698919307897,90.0,-5.2,168,23,318.5003022423625,6081.880164614079,71.6466706965648,0.4390821872938477
4,160023,14,6483.417250718245,25237.086253591227,30,3,34,153,23,154,1,0,1,0,1,0.0,924.0,7401.417250718245,-65.57142857142857,-0.5903924025756907,54.0,-3.4285714285714284,153,23,3694.074119930454,4829.6024267321545,118.12963028472073,1.0636162389416568
4,160024,15,10234.901878734872,35944.50939367436,299,13,96,121,10,75,0,0,0,0,0,0.0,450.0000000000018,10684.901878734874,-30.00000000000012,-0.07929814337113576,0.0,0.0,121,10,393.39576983693405,9432.222724767485,53.511943597825784,0.14144659251628341
4,160025,13,7191.19093680943,27045.954684047152,36,7,43,203,23,229,0,0,0,0,0,0.0,1373.999999999999,8565.19093680943,-105.69230769230762,-0.5120286377639491,0.0,0.0,203,23,502.1089474988912,5867.769147309653,101.80167611536748,0.4931803901489805
4,160026,13,7010.733171405326,26123.665857026637,35,7,39,208,23,222,1,0,1,0,1,0.0,1331.999999999999,8336.733171405325,-101.99999999999993,-0.3547126038247676,113.0,-8.23076923076923,208,23,1842.0851810865788,5395.31613518801,124.26284893979356,0.43213332064821536
4,160027,15,10329.392416489136,36461.96208244569,298,13,99,120,10,80,0,0,0,0,0,0.0,480.00000000000364,10809.39241648914,-32.00000000000024,-0.08267920872741605,0.0,0.0,120,10,198.95765751286672,9571.600884986561,50.51943543350499,0.1305283420936858
4,160028,13,7194.434171900619,26207.17085950311,38,9,44,229,23,241,0,0,0,0,0,0.0,1446.0000000000018,8640.43417190062,-111.23076923076937,-0.3209491427510249,0.0,0.0,229,23,932.1449324470777,5635.005185411203,119.95607588380125,0.34612544702273657
4,160029,16,7490.411027634658,29012.05513817328,32,7,53,177,21,303,0,0,0,0,0,0.0,1831.0,9321.411027634658,-114.4375,-0.4061811867941037,0.0,0.0,177,21,605.4412866686253,6307.322770300931,73.94301608335797,0.26245122471107674
4,160030,16,10912.873947583692,39124.369737918474,298,11,120,111,10,57,0,0,0,0,0,0.0,342.0000000000018,11254.873947583694,-21.375000000000114,-0.055920027352780774,0.0,0.0,111,10,897.1402516074377,10069.445897262207,52.71425314509281,0.13790795217567178
4,160031,14,7405.351461277331,27561.757306386648,35,9,41,217,23,206,0,0,0,0,0,0.0,1236.0000000000036,8641.351461277334,-88.28571428571455,-0.3551407832654087,0.0,0.0,217,23,408.67204208133626,6020.617052861064,98.90960060116193,0.3978767495303511
4,160032,10,6848.399221425234,24651.996107126168,35,3,28,244,23,181,0,0,0,0,0,0.0,1086.0,7934.399221425234,-108.6,-0.7353404145432257,0.0,0.0,244,23,4385.920430599708,4513.215135305291,233.51840861199426,1.5811742485471292
4,160033,12,8971.178577165889,30865.89288582945,298,8,57,116,10,70,0,0,0,0,0,0.0,419.9999999999982,9391.178577165887,-34.99999999999985,-0.0783807243734101,0.0,0.0,116,10,521.5146629900337,8174.8756445678855,66.35857771650028,0.1486066682802441
4,160034,15,7172.589681278892,27642.948406394455,35,8,41,182,23,199,0,0,0,0,0,0.0,1194.0,8366.589681278892,-79.6,-0.3647218340852197,0.0,0.0,182,23,1589.6037465046102,5762.66893197797,93.99471662006151,0.43067745527624773
4,160035,15,7776.15793845563,30050.789692278155,38,10,51,182,23,168,1,0,1,0,1,0.0,1008.0,8778.15793845563,-66.8,-0.23075780777118043,118.0,-7.466666666666667,182,23,381.84333631208574,6608.789271193213,77.82457781749447,0.26884175101620755
4,160036,14,9244.467377987437,31662.33688993719,298,12,73,123,10,79,0,0,0,0,0,0.0,474.0000000000018,9718.46737798744,-33.85714285714299,-0.08003226269447473,0.0,0.0,123,10,327.0765506659736,8444.052067854243,57.172522152371,0.13514567165666455
4,160037,10,7004.347976937219,24946.739884686096,36,3,29,264,23,212,0,0,0,0,0,0.0,1272.0,8276.347976937219,-127.2,-0.3714789119468465,0.0,0.0,264,23,1080.9373785252465,5207.160501232169,179.718747570505,0.5248563270750092
4,160038,16,4365.721315928526,16708.60657964263,47,5,42,55,8,197,0,0,0,0,0,0.0,1189.0,5554.721315928526,-74.3125,-0.702889548793548,0.0,0.0,55,8,0.0,4035.7213159285257,20.625,0.19508288570384427
4,160039,15,10737.729377357033,38308.646886785195,298,11,116,114,10,95,0,0,0,0,0,0.0,569.9999999999964,11307.729377357029,-37.99999999999976,-0.10258525738102778,0.0,0.0,114,10,825.7679022145021,9888.575796914132,56.61023869619336,0.15282568176448558
4,160040,11,6838.59187628959,24917.95938144795,33,4,30,236,23,171,0,0,0,0,0,0.0,1026.999999999999,7865.591876289589,-93.36363636363627,-0.22093411007421282,0.0,0.0,236,23,7081.982489715436,4018.1953783465033,256.3996816311897,0.6067398153159521
4,160041,11,7157.082858200228,25625.41429100113,38,7,35,254,23,238,0,0,0,0,0,0.0,1428.000000000001,8585.082858200229,-129.8181818181819,-0.4181101384775717,0.0,0.0,254,23,897.1402516074377,5453.654807878739,154.8570954837717,0.4987538781558104
4,160042,15,10300.223050027796,36146.11525013901,317,11,101,104,9,51,0,0,0,0,0,0.0,306.0,10606.223050027796,-20.4,-0.051447491930646315,0.0,0.0,104,9,1784.830217355673,9324.257006556667,65.0644028980753,0.16408825211132597
4,160043,13,7141.059026317619,27080.295131588093,35,7,36,198,23,177,0,0,0,0,0,0.0,1062.000000000001,8203.05902631762,-81.69230769230776,-0.39436343351030145,0.0,0.0,198,23,1800.6744540267828,5597.924135512262,118.70268390810438,0.5730282240184031
4,160044,12,7621.203546437998,27251.017732189994,75,10,43,239,21,217,2,0,2,0,1,0.0,1302.000000000001,8911.203546437999,-107.50000000000007,-0.3843937188751644,36.0,-2.0,239,21,1470.955161484162,5892.012514141165,144.0992526914027,0.5152636988760958
4,160045,11,9503.61372947792,32708.06864738961,299,8,59,141,10,70,0,0,0,0,0,0.0,420.0000000000018,9923.613729477922,-38.18181818181835,-0.068284426056638,0.0,0.0,141,10,988.8705939056963,8462.839610696781,94.61582898010353,0.16921110322755462
4,160046,15,7237.5493507305055,28702.746753652522,35,9,37,162,23,125,0,0,0,0,0,0.0,750.0,7987.5493507305055,-50.0,-0.317160804927513,0.0,0.0,162,23,4215.523538771104,5427.444642976284,120.67364718361478,0.7654590214858794
4,160047,16,6114.212967462195,24021.06483731098,35,8,48,122,16,251,0,0,0,0,0,0.0,1515.0,7629.212967462195,-94.6875,-0.46072592030882226,0.0,0.0,122,16,66.31921917095679,5366.949123628003,46.703990239636994,0.22725004763301393
4,160048,12,8589.092249157397,28565.461245786984,318,9,47,117,9,95,0,0,0,0,0,0.0,570.0,9159.092249157397,-47.5,-0.1032151571487308,0.0,0.0,117,9,2001.6338681972484,7487.765475517947,91.77723113662076,0.1994273965145621
4,160049,14,7079.771309502983,26633.85654751491,36,7,46,196,23,158,0,0,0,0,0,0.0,948.0,8027.771309502983,-67.71428571428571,-0.25724934153537055,0.0,0.0,196,23,2244.966120570367,5459.778085388911,115.71380172243373,0.4396014664505349
