kind,mode,seed,method,variant,coverage,success,cleared,virtual_time_s,distance_m,measure_calls,switches,clear_calls,failed_clear,solver_failures,optical_fallbacks,extra_measurements,macro_steps,sources
uniform,4,97021,G25O,G25OR,S25,True,10,6828.455788858464,23862.278944292324,336,326,10,0,0,0,33,,10
uniform,4,97022,A0,G25OR,S25,True,10,12638.302992644065,49996.51496322024,396,348,97,87,0,1,0,72,10
uniform,4,97022,G25O,G25OR,S25,True,10,7098.3149975285205,25356.5749876426,331,322,10,0,0,0,33,,10
uniform,4,97023,A0,G25OR,S25,True,14,11982.331533986022,48246.65766993011,385,338,14,0,0,0,0,84,14
uniform,4,97023,G25O,G25OR,S25,True,14,7595.977732367116,28114.888661835565,320,303,14,0,0,0,46,,14
uniform,4,97024,A0,G25OR,S25,True,12,15172.221764985039,61681.10882492499,393,325,174,162,0,3,0,96,12
uniform,4,97024,G25O,G25OR,S25,True,12,7777.709557652014,29598.547788260068,301,293,12,0,0,0,44,,12
uniform,4,97025,A0,G25OR,S25,True,16,11831.56510545321,51332.82552726607,255,210,16,0,0,0,0,89,16
uniform,4,97025,G25O,G25OR,S25,True,16,4144.21444807919,16041.072240395955,146,126,16,0,0,0,55,,16
uniform,4,97026,A0,G25OR,S25,True,16,14973.333233866964,62126.66616933464,326,277,203,187,0,2,0,108,16
uniform,4,97026,G25O,G25OR,S25,True,16,5696.886609522109,21979.433047610542,207,186,16,0,0,0,60,,16
uniform,4,97027,A0,G25OR,S25,True,14,13584.56276226843,55502.81381134201,345,299,144,130,0,2,0,87,14
uniform,4,97027,G25O,G25OR,S25,True,14,7410.0544721300175,27795.272360650088,299,286,14,0,0,0,47,,14
uniform,4,97028,A0,G25OR,S25,True,12,12456.247053539482,49201.235267697324,394,346,92,80,0,1,0,74,12
uniform,4,97028,G25O,G25OR,S25,True,12,7429.648749450791,27468.243747253964,314,306,12,0,0,0,36,,12
uniform,4,97029,A0,G25OR,S25,True,12,12872.030777664839,52400.15388832417,384,334,38,26,0,1,0,79,12
uniform,4,97029,G25O,G25OR,S25,True,12,7760.095824175245,29245.47912087622,311,296,12,0,0,0,53,,12
uniform,4,97030,A0,G25OR,S25,True,10,13631.654223103294,52688.2711155163,429,383,182,172,0,2,0,79,10
uniform,4,97030,G25O,G25OR,S25,True,10,6858.407764769747,24472.03882384875,320,314,10,0,0,0,40,,10
uniform,4,97031,A0,G25OR,S25,True,14,13400.447072577143,55067.23536288558,333,286,136,122,0,2,0,93,14
uniform,4,97031,G25O,G25OR,S25,True,14,6942.364086472316,26591.820432361583,260,251,15,1,0,0,46,,14
uniform,4,97032,A0,G25OR,S25,True,14,15633.71928684538,63653.596434226645,351,298,274,260,0,3,0,95,14
uniform,4,97032,G25O,G25OR,S25,True,14,7001.111483104218,26255.55741552109,281,275,14,0,0,0,50,,14
uniform,4,97033,A0,G25OR,S25,True,14,14559.233259024755,59341.1662951235,315,266,274,260,0,3,0,91,14
uniform,4,97033,G25O,G25OR,S25,True,14,6770.858374436895,25719.291872184473,262,247,14,0,0,0,44,,14
uniform,4,97034,A0,G25OR,S25,True,15,14853.21688346295,62066.08441731461,346,287,131,116,0,2,0,107,15
uniform,4,97034,G25O,G25OR,S25,True,15,7118.864497096121,27064.3224854806,273,266,15,0,0,0,53,,15
uniform,4,97035,A0,G25OR,S25,True,15,11695.650500971708,49873.252504858545,281,241,15,0,0,0,0,84,15
uniform,4,97035,G25O,G25OR,S25,True,15,7087.777492981916,28228.887464909578,230,217,15,0,0,0,47,,15
uniform,4,97036,A0,G25OR,S25,True,15,13963.789831948874,57413.949159744254,343,295,147,132,0,2,0,89,15
uniform,4,97036,G25O,G25OR,S25,True,15,6668.660005173562,26098.300025867822,230,224,15,0,0,0,44,,15
uniform,4,97037,A0,G25OR,S25,True,12,12113.491863914664,49137.45931957321,332,293,103,91,0,1,0,70,12
uniform,4,97037,G25O,G25OR,S25,True,12,6591.907450790302,24609.53725395152,271,255,12,0,0,0,30,,12
uniform,4,97038,A0,G25OR,S25,True,11,17972.24754685177,71316.23773425793,417,357,415,404,0,4,0,90,11
uniform,4,97038,G25O,G25OR,S25,True,11,7703.258135941683,27336.290679708418,365,356,11,0,0,0,41,,11
uniform,4,97039,A0,G25OR,S25,True,15,13785.072088610628,58560.36044305303,295,247,107,92,0,1,0,90,15
uniform,4,97039,G25O,G25OR,S25,True,15,7091.971613492012,26814.85806746006,277,269,15,0,0,0,56,,15
uniform,4,97040,A0,G25OR,S25,True,11,13089.200666625291,51861.00333312625,346,308,219,208,0,2,0,72,11
