scenario,mode,seed,coverage,sources,success,cleared,virtual_time_s,distance_m,solver_failures,optical_fallbacks
outward,3,98018,S25,11,True,11,4102.155186321409,16890.775931607048,0,0
outward,3,98018,S21,11,True,11,4102.155186321409,16890.775931607048,0,0
outward,3,98019,S25,13,True,13,4670.674114531821,19758.370572659107,0,0
outward,3,98019,S21,13,True,13,4670.674114531821,19758.370572659107,0,0
outward,4,98000,S25,11,True,11,8111.527976216929,27957.63988108465,0,0
outward,4,98000,S21,11,True,11,7784.865906017322,28174.329530086616,0,0
outward,4,98001,S25,12,True,12,8874.899723586916,31069.498617934605,0,0
outward,4,98001,S21,12,True,12,8123.397211543579,29951.986057717895,0,0
outward,4,98002,S25,15,True,15,8611.12057289378,31045.602864468914,0,0
outward,4,98002,S21,15,True,15,8700.362788042068,32656.813940210337,0,0
outward,4,98003,S25,12,True,12,8302.86327930197,28704.31639650986,0,0
outward,4,98003,S21,12,True,12,7910.2528289547545,28566.26414477376,0,0
outward,4,98004,S25,10,True,10,7725.7259603608245,26813.62980180413,0,0
outward,4,98004,S21,10,True,10,7283.755202625726,26338.77601312862,0,0
outward,4,98005,S25,15,True,15,8555.93835314779,29919.69176573895,0,0
outward,4,98005,S21,15,True,15,8193.567743133908,30277.838715669564,0,0
outward,4,98006,S25,15,True,15,7824.891785788625,28114.458928943135,0,0
outward,4,98006,S21,15,True,15,7295.968746199317,27219.843730996585,0,0
outward,4,98007,S25,12,True,12,7396.210386619822,25421.051933099094,0,0
outward,4,98007,S21,12,True,12,7033.257180541152,25591.285902705753,0,0
outward,4,98008,S25,14,True,14,8065.353329758642,27871.76664879321,0,0
outward,4,98008,S21,14,True,14,7955.313683877967,29671.568419389827,0,0
outward,4,98009,S25,13,True,13,8375.979541817933,30099.897709089673,0,0
outward,4,98009,S21,13,True,13,7995.394588347215,29826.97294173607,0,0
outward,4,98010,S25,10,True,10,8712.112094821327,30195.560474106627,0,0
outward,4,98010,S21,10,True,10,8250.601935121693,30183.00967560846,0,0
outward,4,98011,S25,16,True,16,7459.460803808989,27792.30401904497,0,0
outward,4,98011,S21,16,True,16,7638.009603182233,29395.048015911154,0,0
outward,4,98012,S25,13,True,13,7683.644331408271,27188.221657041355,0,0
outward,4,98012,S21,13,True,13,7394.526856006542,27252.634280032707,0,0
outward,4,98013,S25,12,True,12,8585.966190129404,30229.830950647025,0,0
outward,4,98013,S21,12,True,12,8017.576584939245,29797.88292469622,0,0
outward,4,98014,S25,12,True,12,7957.155386631399,27555.776933157,0,0
outward,4,98014,S21,12,True,12,7589.855717367411,28164.27858683704,0,0
outward,4,98015,S25,11,True,11,8088.473995113853,27992.36997556925,0,0
outward,4,98015,S21,11,True,11,7879.62135739423,28968.106786971148,0,0
outward,4,98016,S25,12,True,12,8622.561481680012,29802.807408400084,0,0
outward,4,98016,S21,12,True,12,8064.066702870112,29015.33351435056,0,0
outward,4,98017,S25,13,True,13,8387.69192430622,29078.45962153111,0,0
outward,4,98017,S21,13,True,13,7590.004770441199,27090.023852206003,0,0
outward,4,98018,S25,11,True,11,8205.519969300316,27902.599846501584,0,0
outward,4,98018,S21,11,True,11,8725.175069069208,32660.875345346038,0,0
outward,4,98019,S25,13,True,13,8545.745898796851,30498.729493984265,0,0
outward,4,98019,S21,13,True,13,7675.457953401854,27907.289767009268,0,0
