mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,clear_calls,failed_clear
3,160032,G25OR,10,True,10,3497.0904967894867,14070.452483947432,106,10,0
3,160032,O1,10,True,10,2768.380659793269,12526.903298966343,36,10,0
3,160032,O2,10,True,10,3161.097019137625,13070.485095688126,84,10,0
3,160032,O3,10,True,10,2388.4580646479003,11277.2903232395,14,10,0
3,160032,O0,10,True,10,1334.6604851015547,6423.3024255077735,0,10,0
3,160033,G25OR,12,True,12,4503.663417419707,18108.31708709853,139,12,0
3,160033,O1,12,True,12,4167.663417419707,18108.31708709853,83,12,0
3,160033,O2,12,True,12,4018.3352334928127,16376.676167464062,115,12,0
3,160033,O3,12,True,12,3682.335233492813,16376.676167464062,59,12,0
3,160033,O0,12,True,12,1975.336819284561,9576.684096422807,0,12,0
3,160034,G25OR,15,True,15,4422.260242559455,18371.301212797272,113,15,0
3,160034,O1,15,True,15,4212.260242559455,18371.301212797272,78,15,0
3,160034,O2,15,True,15,3991.5828619784406,17212.914309892207,80,15,0
3,160034,O3,15,True,15,3784.5828619784406,17212.914309892207,45,15,0
3,160034,O0,15,True,15,2074.78948410245,9998.94742051225,0,15,0
3,160035,G25OR,15,True,15,4290.55452331923,17882.77261659614,107,15,0
3,160035,O1,15,True,15,4081.5545233192292,17882.77261659614,72,15,0
3,160035,O2,15,True,15,3776.0073157790407,16370.0365788952,72,15,0
3,160035,O3,15,True,15,3263.933959733669,14854.669798668343,37,15,0
3,160035,O0,15,True,15,1979.707400028617,9523.537000143086,0,15,0
3,160036,G25OR,14,True,14,4430.971335126706,17859.856675633546,134,14,0
3,160036,O1,14,True,14,4178.971335126706,17859.856675633546,92,14,0
3,160036,O2,14,True,14,3889.961650400803,16074.808252004015,102,14,0
3,160036,O3,14,True,14,3638.961650400803,16074.808252004015,60,14,0
3,160036,O0,14,True,14,2011.2876920851693,9706.438460425848,0,14,0
3,160037,G25OR,10,True,10,3763.05250129587,15215.262506479352,112,10,0
3,160037,O1,10,True,10,3343.05250129587,15215.262506479352,42,10,0
3,160037,O2,10,True,10,3411.965055774737,14289.825278873683,85,10,0
3,160037,O3,10,True,10,2515.8969558757267,11884.484779378632,15,10,0
3,160037,O0,10,True,10,1523.6815181397524,7368.407590698762,0,10,0
