kind,mode,seed,method,sources,success,cleared,virtual_time_s,distance_m,measure_calls,switches,failed_clear,optical_fallbacks,solver_failures,extra_measurements,dynamic_absent_channels,dynamic_absent_cells,wall_s
edge,3,96009,Full_Q4,16,True,16,5001.857252863095,20664.286264315477,135,114,0,0,0,38,0,0,0.4815220832824707
edge,3,96010,G25OR,13,True,13,4821.519693000152,19762.598465000763,137,119,0,0,0,33,0,0,0.23190546035766602
edge,3,96010,Full_noQ4,13,True,13,4821.519693000152,19762.598465000763,137,119,0,0,0,33,0,0,0.17146801948547363
edge,3,96010,Full_Q4,13,True,13,4821.519693000152,19762.598465000763,137,119,0,0,0,33,0,0,0.1967475414276123
edge,3,96011,G25OR,15,True,15,4911.590098982851,20182.95049491424,137,115,0,0,0,37,0,0,0.21347332000732422
edge,3,96011,Full_noQ4,15,True,15,4911.590098982851,20182.95049491424,137,115,0,0,0,37,0,0,0.34276747703552246
edge,3,96011,Full_Q4,15,True,15,4911.590098982851,20182.95049491424,137,115,0,0,0,37,0,0,0.1276416778564453
edge,3,96012,G25OR,14,True,14,4749.719779047344,19583.59889523673,130,113,0,0,0,34,0,0,0.2308058738708496
edge,3,96012,Full_noQ4,14,True,14,4776.104792760631,19705.523963803174,130,115,0,0,0,34,0,0,0.30658411979675293
edge,3,96012,Full_Q4,14,True,14,4776.104792760631,19705.523963803174,130,115,0,0,0,34,0,0,0.27126169204711914
edge,3,96013,G25OR,16,True,16,4954.17344395405,20275.867219770265,140,119,0,0,0,36,0,0,0.16005873680114746
edge,3,96013,Full_noQ4,16,True,16,4935.369475723657,20181.847378618273,140,119,0,0,0,35,0,0,0.14779925346374512
edge,3,96013,Full_Q4,16,True,16,4935.369475723657,20181.847378618273,140,119,0,0,0,35,0,0,0.31076955795288086
edge,3,96014,G25OR,11,True,11,4918.740513663804,20083.702568319022,144,127,0,0,0,29,0,0,0.11323809623718262
edge,3,96014,Full_noQ4,11,True,11,4918.740513663804,20083.702568319022,144,127,0,0,0,29,0,0,0.15799927711486816
