mode,seed,kind,sources,success,cleared,virtual_time_s,time_per_source_s,distance_m,measures,switches,clear_calls,failed_clear,cost_identity_error_s
3,260190,uniform,11,True,11,3004.8561010399126,273.1687364581739,11659.280505199564,105,93,11,0,0.0
3,260191,uniform,14,True,14,3758.0471733752534,268.43194095537524,15645.235866876268,95,84,14,0,-4.547473508864641e-13
3,260192,edge,15,True,15,4456.053107101792,297.07020714011946,17785.26553550896,141,119,15,0,0.0
3,260193,uniform,11,True,11,3453.411859691708,313.9465326992462,13187.05929845854,129,116,11,0,0.0
3,260194,uniform,10,True,10,3121.5964317104963,312.15964317104965,12272.98215855248,104,97,10,0,0.0
3,260195,edge,16,True,16,4416.61087810718,276.03817988169874,17738.054390535897,135,114,16,0,0.0
3,260196,uniform,15,True,15,3389.874565315879,225.99163768772527,13654.372826579389,99,89,15,0,1.3642420526593924e-12
3,260197,uniform,14,True,14,3507.5229980576614,250.53735700411866,14232.614990288306,101,86,14,0,0.0
3,260198,edge,16,True,16,4205.268305914767,262.8292691196729,16921.341529573834,127,106,16,0,0.0
3,260199,uniform,12,True,12,3395.0226932009346,282.9185577667445,13485.11346600467,108,98,12,0,4.547473508864641e-13
4,160000,edge,11,True,11,8655.349799273828,786.8499817521662,32561.748996369155,354,318,11,0,-1.8189894035458565e-12
4,160001,uniform,12,True,12,6552.4386288253945,546.0365524021162,23722.193144126977,294,278,12,0,-9.094947017729282e-13
4,160002,uniform,11,True,11,7327.7705220296875,666.1609565481534,26248.852610148442,340,323,11,0,-9.094947017729282e-13
4,160003,edge,15,True,15,9229.460126096325,615.297341739755,36167.30063048164,330,271,15,0,-3.637978807091713e-12
4,160004,uniform,11,True,11,6482.272904272473,589.297536752043,22636.36452136236,318,310,11,0,9.094947017729282e-13
4,160005,uniform,15,True,15,5881.809433961584,392.1206289307722,22829.04716980792,208,201,15,0,0.0
4,160006,edge,11,True,11,9493.016886058835,863.0015350962577,35415.08443029414,400,355,11,0,7.275957614183426e-12
4,160007,uniform,10,True,10,6942.346829401607,694.2346829401606,23426.734147008046,371,352,10,0,-2.7284841053187847e-12
4,160008,uniform,10,True,10,5925.617494816274,592.5617494816274,19813.087474081363,321,308,10,0,1.8189894035458565e-12
4,160009,edge,15,True,15,9506.933629034704,633.7955752689802,37739.66814517353,323,269,15,0,-1.8189894035458565e-12
4,160010,uniform,12,True,12,5996.496199983238,499.7080166652698,20782.48099991619,298,290,12,0,-9.094947017729282e-13
4,160011,uniform,12,True,12,6361.138095203665,530.0948412669721,22250.690476018324,310,301,12,0,0.0
4,160012,edge,16,True,16,7828.64049413265,489.2900308832906,32093.20247066324,228,190,16,0,1.8189894035458565e-12
4,160013,uniform,11,True,11,6068.829665414148,551.7117877649225,21454.148327070747,289,278,11,0,-1.8189894035458565e-12
4,160014,uniform,15,True,15,6299.994126440117,419.9996084293411,23399.970632200588,259,250,15,0,-9.094947017729282e-13
4,160015,edge,16,True,16,7464.961569726663,466.5600981079164,30644.80784863331,220,156,16,0,9.094947017729282e-13
4,160016,uniform,12,True,12,6891.992829077384,574.3327357564486,24504.964145386926,325,306,12,0,-9.094947017729282e-13
4,160017,uniform,13,True,13,6673.917582512547,513.3782755778882,25319.58791256272,260,245,13,0,2.7284841053187847e-12
4,160018,edge,16,True,16,8561.263088012734,535.0789430007959,34566.31544006366,275,193,16,0,1.8189894035458565e-12
4,160019,uniform,12,True,12,6112.342515780729,509.3618763150607,22176.71257890364,271,262,12,0,9.094947017729282e-13
