seed,mode,variant,kind,sources,cleared,virtual_s,distance_m,measure_calls,switches,failed_clear,clear_calls,visited,opportunistic,wall_s
91002,4,G25,edge,11,11,9555.563132897245,32757.81566448622,504,429,0,11,25,0,0.005247592926025391
91003,4,G25,edge,10,10,9212.698355547498,31183.49177773752,499,431,0,10,25,0,0.004837512969970703
91004,4,G25,edge,12,12,10066.870809822925,34739.35404911464,524,439,0,12,25,0,0.006193399429321289
91005,4,G25,edge,14,14,10783.839678722858,39554.1983936143,483,388,0,14,25,0,0.008435487747192383
91006,4,G25,edge,10,10,9558.410192789965,32512.050963949827,513,441,0,10,25,0,0.006432056427001953
91007,4,G25,edge,16,16,9951.785355067552,35508.926775337764,477,385,0,16,24,0,0.007692098617553711
91008,4,G25,edge,10,10,9570.66565574052,33468.32827870262,483,412,0,10,25,0,0.004734992980957031
91009,4,G25,edge,16,16,10959.717204038003,39193.58602019001,526,411,0,16,25,0,0.008497476577758789
91010,4,G25,edge,10,10,9938.795285579285,34358.97642789646,517,432,0,10,25,0,0.005583763122558594
91011,4,G25,edge,14,14,10011.58964482224,35527.94822411123,486,406,0,14,25,0,0.006958723068237305
91012,4,G25,edge,13,13,9669.774346461938,33833.8717323097,487,403,0,13,25,0,0.006060123443603516
91013,4,G25,edge,13,13,9929.073101402584,35525.36550701292,473,394,0,13,25,0,0.005974531173706055
91014,4,G25,edge,12,12,9722.240337831408,34901.201689157024,459,387,0,12,25,0,0.005805015563964844
91015,4,G25,edge,14,14,10498.282498978864,38036.41249489433,484,401,0,14,25,0,0.006472587585449219
91016,4,G25,edge,14,14,9787.689300615277,34183.446503076404,495,406,0,14,25,0,0.006735086441040039
91017,4,G25,edge,12,12,9904.31342463195,34006.56712315976,520,443,0,12,25,0,0.005806684494018555
91018,4,G25,edge,10,10,9364.8554956026,31844.277478012988,503,431,0,10,25,0,0.00486302375793457
91019,4,G25,edge,12,12,10245.137196921007,36470.685984605065,497,406,0,12,25,0,0.00569915771484375
91020,4,G25,edge,13,13,10050.71172760928,36488.558638046416,461,383,0,13,25,0,0.006196498870849609
91021,4,G25,edge,12,12,9837.220259243251,34456.10129621625,494,416,0,12,25,0,0.005682229995727539
91022,4,G25,edge,14,14,10517.922457763309,37979.61228881655,491,397,0,14,25,0,0.006587028503417969
91023,4,G25,edge,12,12,9483.393112388074,33241.96556194041,476,395,0,12,25,0,0.005960941314697266
91024,4,G25,edge,15,15,10533.016452759435,37925.08226379718,494,403,0,15,25,0,0.006991147994995117
91025,4,G25,edge,10,10,10141.566444033222,35577.83222016612,510,426,0,10,25,0,0.005461454391479492
91026,4,G25,edge,14,14,10608.272413532393,38006.362067662005,505,412,0,14,25,0,0.0068171024322509766
91027,4,G25,edge,16,16,10813.975901726424,38939.879508632155,509,401,0,16,25,0,0.007628202438354492
91028,4,G25,edge,10,10,9792.65794571836,33873.28972859181,507,433,0,10,25,0,0.005236387252807617
91029,4,G25,edge,16,16,10063.65196343793,36213.25981718967,471,386,0,16,25,0,0.00714421272277832
91030,4,G25,edge,15,15,10057.37413799781,36331.870689989046,466,386,0,15,25,0,0.0076122283935546875
91031,4,G25,edge,13,13,10371.706633390926,37153.533166954614,494,406,0,13,25,0,0.006144523620605469
91032,4,G25,edge,16,16,11345.465724464513,42657.32862232256,473,369,0,16,25,0,0.008220672607421875
91033,4,G25,edge,14,14,9849.744728152733,34318.72364076367,500,416,0,14,25,0,0.006531715393066406
91034,4,G25,edge,10,10,9549.748439109118,33093.742195545616,492,421,0,10,25,0,0.00481104850769043
91035,4,G25,edge,15,15,9817.959607068457,33934.798035342275,509,411,0,15,25,0,0.009042024612426758
91036,4,G25,edge,12,12,9666.654992899672,33228.27496449841,508,421,0,12,25,0,0.005599498748779297
91037,4,G25,edge,15,15,10251.47210237303,37667.360511865154,454,373,0,15,25,0,0.007966279983520508
91038,4,G25,edge,13,13,10447.49792885218,37837.48964426091,483,400,0,13,25,0,0.005967378616333008
91039,4,G25,edge,11,11,9439.648888328387,32073.24444164199,509,425,0,11,25,0,0.006688594818115234
91040,4,G25,edge,12,12,9763.111575213234,34335.55787606616,486,406,0,12,25,0,0.0076274871826171875
91041,4,G25,edge,11,11,9172.558007137888,30827.79003568946,504,432,0,11,25,0,0.0051174163818359375
91042,4,G25,edge,15,15,10360.650592208098,36853.25296104054,501,410,0,15,25,0,0.011758804321289062
91043,4,G25,edge,14,14,10070.647544165791,36258.23772082896,474,379,0,14,25,0,0.006695270538330078
91044,4,G25,edge,12,12,9307.479550385593,31607.397751927987,500,426,0,12,25,0,0.007241964340209961
91045,4,G25,edge,10,10,10081.311283438856,34971.556417194246,520,437,0,10,25,0,0.007006406784057617
91046,4,G25,edge,16,16,10483.227457232004,38311.137286160054,470,391,0,16,25,0,0.00909733772277832
91047,4,G25,edge,11,11,9735.725313164246,33368.62656582124,516,427,0,11,25,0,0.005555391311645508
91048,4,G25,edge,16,16,10652.362614442918,38731.81307221462,485,401,0,16,25,0,0.0071489810943603516
91049,4,G25,edge,15,15,10471.282762689993,37811.413813449995,489,389,0,15,25,0,0.008746862411499023
91050,4,G25,edge,16,16,10598.41062388453,38877.05311942267,474,373,0,16,24,0,0.00832223892211914
91051,4,G25,edge,16,16,10071.86903325707,35414.345166285384,501,404,0,16,25,0,0.009424686431884766
91052,4,G25,edge,12,12,9810.125851744206,34955.62925872106,472,399,0,12,25,0,0.0061681270599365234
91053,4,G25,edge,14,14,10505.192212546413,37775.961062732065,494,410,0,14,25,0,0.006750345230102539
91054,4,G25,edge,13,13,9816.150449883842,34880.752249419216,475,400,0,13,25,0,0.00601649284362793
91055,4,G25,edge,10,10,9472.46433382378,32572.321669118908,496,428,0,10,25,0,0.004910707473754883
