group,problem,run_id,case_code,sources,cleared,full_clear,virtual_time_s,avg_clear_time_s,program_run_s,measure_calls,switches,clear_failures,end_reason
G25O,3,188,T3QE-AM6E-5QCQ-HQM2,16,16,1,4491.399531,280.712471,1.419,118,109,0,user_exit
Traditional,4,2,UY4R-5N2Y-76V8-EK3V,13,13,1,14788.41863,1137.570664,4.397,342,304,63,user_exit
Traditional,4,4,R5BV-9E95-QH6U-KE6G,11,11,1,13246.301561,1204.209233,3.367,347,311,0,user_exit
Traditional,4,8,MQ7M-FHTX-TGR9-SG9S,12,12,1,14794.028227,1232.835686,4.465,345,303,0,user_exit
Traditional,4,9,XCNA-GP3B-DC9S-NVEF,13,13,1,15350.786445,1180.829727,4.676,318,271,54,user_exit
Traditional,4,10,T8R3-GFEG-34BB-UVA9,16,16,1,19834.823691,1239.676481,6.461,323,274,175,user_exit
Traditional,4,14,6HJW-AQTK-YHM3-ZT8P,10,9,0,5184.380429,518.438043,4.679,110,107,0,user_exit
Traditional,4,15,VM87-MRBQ-83E9-QUH9,14,14,1,16958.89492,1211.349637,6.324,351,305,6,user_exit
Traditional,4,16,GJWR-YC8P-46G2-YEBV,15,15,1,14464.364696,964.29098,5.386,342,311,0,user_exit
Traditional,4,17,5SBF-6T5W-A9XK-FTBU,15,15,1,14208.677913,947.245194,5.528,288,250,0,user_exit
Traditional,4,18,Z6RA-P6KG-FQQE-Q3SW,11,11,1,11587.487765,1053.407979,4.932,317,289,0,user_exit
Traditional,4,19,T9SJ-EURM-KMWV-2D68,13,13,1,13904.722229,1069.594018,5.401,323,292,0,user_exit
Traditional,4,20,Z4XM-PNBZ-BSCQ-G488,13,13,1,12810.236907,985.402839,3.244,326,293,0,user_exit
Traditional,4,21,Z265-FBZ6-FMHK-YXAK,15,15,1,16568.536238,1104.569083,4.198,322,270,17,user_exit
Traditional,4,22,CGVM-SUYP-4R2B-VZK7,12,12,1,15814.191568,1317.849297,4.939,403,359,75,user_exit
Traditional,4,23,WZND-23HC-B654-H45N,16,16,1,14141.533825,883.845864,3.897,260,223,0,user_exit
Traditional,4,24,KDNK-7NEK-MQ6D-H674,14,14,1,13980.499206,998.607086,3.862,308,269,0,user_exit
Traditional,4,25,NMWJ-XVFX-SJ8C-BZTY,11,11,1,13617.754014,1237.977638,4.287,428,386,0,user_exit
OldPlanB,4,57,PZ5V-QJ3P-TG9Y-PUPP,15,15,1,13236.937292,882.462486,5.128,261,217,183,user_exit
OldPlanB,4,58,WZ9B-M2J9-W298-G2M8,15,15,1,11041.430133,736.095342,3.543,273,236,0,user_exit
OldPlanB,4,59,9KRQ-ZX2U-VSPM-J343,12,12,1,11592.825838,966.06882,4.054,389,352,0,user_exit
OldPlanB,4,60,49Y6-YHTP-KS2V-RHE9,15,15,1,13009.033987,867.268932,4.539,325,278,88,user_exit
OldPlanB,4,61,YEKM-UXBR-8W3X-DDVP,13,13,1,11292.445414,868.649647,4.129,347,305,0,user_exit
OldPlanB,4,62,VB3U-Y4QV-WVG3-FW7X,11,11,1,13635.04396,1239.549451,4.974,420,365,90,user_exit
OldPlanB,4,63,NBDX-TRN6-UUZM-T5QV,13,13,1,15144.812811,1164.985601,6.047,420,371,196,user_exit
OldPlanB,4,64,K88A-JQDE-MSNN-DD3M,12,12,1,13160.225768,1096.685481,5.101,361,314,92,user_exit
OldPlanB,4,65,6QD4-9HU4-YS69-8SCR,10,10,1,14142.33406,1414.233406,5.946,428,379,208,user_exit
